Shop Name,Latitude,Longitude
Layley Paints,6.9235644,79.8510646
Sisila Paint Stores,6.9418457,79.86454
A.H.S Hardware Stores,6.9348564,79.8559199
Lanley Decorators  Nippon Paint CCM,6.8849164,79.8669616
Lanley Paint Center,6.9018317,79.8529675
New Unic Paints,6.9165566,79.8778078
New Pradeepa Paint Centre,6.93493,79.8699379
Genuine Paints (Pvt) Ltd,6.9424198,79.8644726
Genuine Paint Centre,6.9478749,79.8723307
Mascon Paint,6.8667061,79.862705
Ceylon Paint Center,6.9338262,79.8658077
Nippon Paint Lanka (Pvt) Ltd,6.9101685,79.9023018
Ahmedsons,6.9415958,79.8643584
Dulux Company Showroom,6.8883922,79.8824233
R3 Paint Store,6.794851,79.9075018
dulux paint dealer,6.7140558,79.9066041
Savoy Paint Centre,6.8653379,79.8634651
Anusan Paint Center  Nippon Paints CCM,6.9414433,79.8652669
Western Paint Center,6.961019,79.8682261
Norex Paint shop,6.9131028,79.9104631
Multi Paints And Hardware,6.8492899,79.8833761
Akzonobel Paints Lanka (Pvt) Ltd,6.9232633,79.8528476
Nippon Hardware And Paints,6.8975925,79.857119
Enterprises,6.8860343,79.8599348
Evershine Paint Showroom,6.941588,79.8638399
Wapp Paints at lalsons,6.9061279,79.8511937
Roxy Paint Center,6.8655558,79.8633032
Trust Hardware and Paints (Pvt) Ltd,6.944428,79.8641475
Noor Trades,6.9385894,79.852908
Design Paints,6.8865148,79.8873891
Rock Paints,6.9217516,79.8545799
m.m.m.sahul hameed(pvt)ltd.,6.9387196,79.8531379
Mohamed Mahathum Paint Shop,6.9235207,79.8511771
Union Paint Shop (Pvt) Ltd.,6.9239945,79.8505051
J.k.Tin,6.930392,79.8757446
Yenud Paint Center,6.8609973,79.8949002
G.K. Paint House,6.9310677,79.8750861
PAINT SHOP KELANIYA,6.9582748,79.8904395
DUSAN PAINT CENTRE,6.9421617,79.8654103
Color Bank,6.876621,79.8903827
UNIQUE Enterprises,6.9304486,79.8772082
JAT Experience Center |Tech Center Nawala,6.8874012,79.8863652
Vision Paint and Hardware,6.9446092,79.8675317
nawala Sudu Aiya,6.8902066,79.8864454
Kotte Paint Centre,6.898126,79.9062517
MAHAJANA PAINT CENTRE,6.8764647,79.8903748
Brightway Paint,6.8667061,79.862705
